tradition,raga,recordings,feature_records,pitch_files,post_processed_pitch_files,tonic_files,tonic_fine_files,total_pitch_frames,mean_duration_seconds,mean_voiced_ratio,mean_pitch,mean_pitch_std
Carnatic,Aṭāna,12,144,144,144,144,144,13037232,499.7661134,0.8104863951485595,328.8687612368134,106.31592025823629
Carnatic,Bhairavi,12,144,144,144,144,144,40417524,1591.6559351333335,0.7757453448938574,331.888986794531,133.01387018209687
Carnatic,Kalyāṇi,12,120,120,120,120,120,28186812,1360.9575014000002,0.7820236358388087,312.4805098289745,115.63990128178304
Carnatic,Kāpi,12,132,132,132,132,132,7807476,327.263394,0.8078446024620956,265.2157528514265,72.70254260053636
Carnatic,Kāṁbhōji,12,132,132,132,132,132,46515408,1956.283063236364,0.7967481358022237,316.78783153388844,125.82600102449696
Carnatic,Kēdāragauḷa,12,144,144,144,144,144,31784424,1224.9596021333334,0.7872050842176878,316.6604832565366,122.31402119105286
Carnatic,Mōhanaṁ,12,144,144,144,144,144,35899980,1400.3563666666666,0.7909916018938736,299.62239167537626,129.23240506346826
Carnatic,Rītigauḷa,12,144,144,144,144,144,24768024,969.6111388444444,0.7829269123292195,295.5809993088759,111.94872025037378
Carnatic,Tōḍi,12,144,144,144,144,144,56172348,2177.6215569,0.7906952641146384,317.4262732444888,134.10218263654207
Carnatic,Śankarābharaṇaṁ,12,144,144,144,144,144,36936144,1428.0353491333335,0.7905573335737351,315.2431711559493,130.03597507312514
Hindustani,Bhairav,10,100,100,100,100,100,20893590,1180.7281926,0.7932622566079367,276.6889933681195,110.63241824179619
Hindustani,Bihāg,10,100,100,100,100,100,25816790,1453.9592380400002,0.7998615760439166,263.65237721873274,98.40222545927404
Hindustani,Bilāsakhānī tōḍī,10,100,100,100,100,100,24810870,1362.1841558,0.8119310333069051,291.655784718372,96.89000926100047
Hindustani,Darbāri,10,100,100,100,100,100,33827640,1939.7850464,0.7807488603092544,241.9167031672379,106.87816580655841
Hindustani,Jōg,10,100,100,100,100,100,29733170,1685.3960347600002,0.7675236631682028,229.38238808850693,82.54944071012964
Hindustani,Khamāj,10,100,100,100,100,100,15783000,905.168726,0.7997411764977832,281.793101180137,113.85103093533613
Hindustani,Miyān malhār,10,100,100,100,100,100,37498990,2063.4900315600003,0.8036815525729919,260.8448791621936,98.82184762513441
Hindustani,Mālkauns,10,100,100,100,100,100,35930480,2117.05705144,0.7588424466560432,290.3829100366319,102.06878812249191
Hindustani,Yaman kalyāṇ,10,100,100,100,100,100,27549560,1510.5572801777778,0.8131590002820084,251.40558740647185,79.35527259771509
Hindustani,Śrī,10,100,100,100,100,100,41234190,2194.90649516,0.833614867761452,232.77031021293394,78.0406741473556
