tradition,raga,count,mean,median,std,minimum,maximum
Carnatic,Aṭāna,144,168.00749985956386,174.47143314804907,32.183918647151096,122.54714325948596,216.34546115910106
Carnatic,Bhairavi,144,170.6629009549403,171.3447681057283,31.945648208430487,122.47637769365372,209.70145304167207
Carnatic,Kalyāṇi,120,159.74682526839328,147.30098339019412,25.54845949701601,129.60938561933136,200.23167212275612
Carnatic,Kāpi,132,158.05700316301508,147.4272815111649,22.93595296925498,131.87491745189556,195.7714232954015
Carnatic,Kāṁbhōji,132,161.56726367972698,145.90239112942416,30.877223879117707,126.21093016353095,216.22053120506905
Carnatic,Kēdāragauḷa,144,150.86797609763005,146.23991136958472,26.651513678057892,128.12069494717315,216.59553765852127
Carnatic,Mōhanaṁ,144,161.46759578287322,148.06764979246273,23.817853741909428,134.95734703159658,196.1109631961529
Carnatic,Rītigauḷa,144,167.33946433488788,158.82767310730597,23.67657770170492,140.12070872484776,204.085006
Carnatic,Tōḍi,144,167.83480579851306,148.19631132820223,28.734974028900783,130.73724439207436,207.652349
Carnatic,Śankarābharaṇaṁ,144,171.0024496153152,167.84489660733612,25.96353201701798,138.2714707100923,212.13806605259242
Hindustani,Bhairav,100,155.92352864811843,143.86361653687703,26.17129529390328,136.9203470724763,219.2388578221309
Hindustani,Bihāg,100,151.73577736847005,138.18848142195515,29.056242670693106,129.08638564590854,221.4022972213777
Hindustani,Bilāsakhānī tōḍī,100,171.2677007528311,152.8929130045326,35.360384542747575,138.67139160750665,233.3513033422413
Hindustani,Darbāri,100,147.06280604761707,146.15741444365733,11.958807743729398,125.1944141393416,168.47137976662637
Hindustani,Jōg,100,148.14268215103579,145.90358337721204,21.359562711236485,130.66174940436042,207.41259811179762
Hindustani,Khamāj,100,136.43559214720756,139.032315763152,4.760970571567665,129.01184395624932,142.81724468614908
Hindustani,Miyān malhār,100,168.02073287088197,148.76164013878548,36.80785252589754,138.67139228367108,240.32779671316965
Hindustani,Mālkauns,100,168.02351021732483,154.98197081929004,32.61678866176285,139.47470748696756,226.83923411715114
Hindustani,Yaman kalyāṇ,100,169.43422217997949,151.83797357651116,37.14006267933329,137.39569987048327,234.29673580463202
Hindustani,Śrī,100,152.81641656805488,152.31820298123915,5.116104723437943,147.00210944002316,161.982376
