tradition,raga,records,valid_frames,mean_duration,median_duration,mean_pitch,median_pitch,pitch_std,mean_voiced_ratio,min_pitch,max_pitch
Carnatic,Aṭāna,144,13037232,499.7661134,434.40232260000005,328.8687612368134,310.0222490525771,106.31592025823629,0.8104863951485595,1.3210397502623418e-14,1446.2025146000003
Carnatic,Bhairavi,144,40417524,1591.6559351333335,1344.0932256,331.888986794531,301.284742376655,133.01387018209687,0.7757453448938574,5.0368408060951644e-15,1670.8031137776843
Carnatic,Kalyāṇi,120,28186812,1360.9575014000002,1035.8629746000001,312.4805098289745,290.5590232818651,115.63990128178304,0.7820236358388087,2.6885811210198197e-06,1318.5346680000014
Carnatic,Kāpi,132,7807476,327.263394,312.4768752,265.2157528514265,260.12145255825936,72.70254260053636,0.8078446024620956,2.667415136051472e-06,1082.131450925292
Carnatic,Kāṁbhōji,132,46515408,1956.283063236364,1794.6487200000001,316.78783153388844,284.2925787418086,125.82600102449696,0.7967481358022237,6.661338147750905e-16,1318.4061719133854
Carnatic,Kēdāragauḷa,144,31784424,1224.9596021333334,1128.5753808,316.6604832565366,292.04378672505123,122.31402119105286,0.7872050842176878,6.661338147750951e-16,1539.3349781521365
Carnatic,Mōhanaṁ,144,35899980,1400.3563666666666,1141.8819144000001,299.62239167537626,271.0531351107199,129.23240506346826,0.7909916018938736,5.466945589168021e-15,1743.8667299024194
Carnatic,Rītigauḷa,144,24768024,969.6111388444444,691.2490542888889,295.5809993088759,276.1434366158835,111.94872025037378,0.7829269123292195,2.390174178033621e-14,1406.6914457434707
Carnatic,Tōḍi,144,56172348,2177.6215569,2598.7540122,317.4262732444888,292.36597209631043,134.10218263654207,0.7906952641146384,2.641923459741955e-06,1749.8984375000011
Carnatic,Śankarābharaṇaṁ,144,36936144,1428.0353491333335,1491.7361936000002,315.2431711559493,288.8248280578686,130.03597507312514,0.7905573335737351,6.66133814775093e-16,1310.9404297000003
Hindustani,Bhairav,100,20893590,1180.7281926,984.1434918,276.6889933681195,252.34555685638318,110.63241824179619,0.7932622566079367,6.66133814775093e-16,1479.6070652802455
Hindustani,Bihāg,100,25816790,1453.9592380400002,1265.6917874,263.65237721873274,240.5120631526353,98.40222545927404,0.7998615760439166,5.310627104869773e-15,1114.0138882973326
Hindustani,Bilāsakhānī tōḍī,100,24810870,1362.1841558,1329.5044826,291.655784718372,279.3632982319372,96.89000926100047,0.8119310333069051,7.845939386963557e-12,1749.8984375000007
Hindustani,Darbāri,100,33827640,1939.7850464,1735.682643,241.9167031672379,215.96409061573297,106.87816580655841,0.7807488603092544,2.0519922398757792e-14,1121.3994987832739
Hindustani,Jōg,100,29733170,1685.3960347600002,1918.1408184000002,229.38238808850693,211.97388540056411,82.54944071012964,0.7675236631682028,2.786245682087501e-11,1166.2987968999744
Hindustani,Khamāj,100,15783000,905.168726,633.6136638,281.793101180137,253.7294072193701,113.85103093533613,0.7997411764977832,6.29231311633554e-15,1295.8829346000005
Hindustani,Miyān malhār,100,37498990,2063.4900315600003,2053.2972446000003,260.8448791621936,247.9688549919256,98.82184762513441,0.8036815525729919,5.343814383750261e-14,1749.441034069549
Hindustani,Mālkauns,100,35930480,2117.05705144,1897.2299164,290.3829100366319,271.34368956054146,102.06878812249191,0.7588424466560432,7.456623957471123e-15,1749.8984375000007
Hindustani,Yaman kalyāṇ,100,27549560,1510.5572801777778,1370.9282200888888,251.40558740647185,235.05970357419758,79.35527259771509,0.8131590002820084,1.9036796267298867e-11,1228.2359288307268
Hindustani,Śrī,100,41234190,2194.90649516,2300.7658810000003,232.77031021293394,225.67102215943464,78.0406741473556,0.833614867761452,6.661338147750955e-16,1380.8549901045562
