raga_id,file,filename,extension,size_bytes,category
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Brajeshwar_Mukherjee/Raag_Jog___Hameer/Raag_Jog_d0781259-2c63-4b35-8ca3-75c19a98e275.pitchSilIntrpPP,Raag_Jog_d0781259-2c63-4b35-8ca3-75c19a98e275.pitchSilIntrpPP,.pitchsilintrppp,22651850,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Brajeshwar_Mukherjee/Raag_Jog___Hameer/Raag_Jog_d0781259-2c63-4b35-8ca3-75c19a98e275.pitch,Raag_Jog_d0781259-2c63-4b35-8ca3-75c19a98e275.pitch,.pitch,10794386,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Girija_Devi/Diva/Raag_Jog_-_Khayal_59ebf93e-fb88-4ac1-b400-000ffbc7ae3d.pitchSilIntrpPP,Raag_Jog_-_Khayal_59ebf93e-fb88-4ac1-b400-000ffbc7ae3d.pitchSilIntrpPP,.pitchsilintrppp,25029350,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Girija_Devi/Diva/Raag_Jog_-_Khayal_59ebf93e-fb88-4ac1-b400-000ffbc7ae3d.pitch,Raag_Jog_-_Khayal_59ebf93e-fb88-4ac1-b400-000ffbc7ae3d.pitch,.pitch,11976974,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Ajoy_Chakrabarty/Raag_Kedar___Jog/Raag_Jog_566d6c64-ae66-45e7-9f91-e33cd6c0f18f.pitchSilIntrpPP,Raag_Jog_566d6c64-ae66-45e7-9f91-e33cd6c0f18f.pitchSilIntrpPP,.pitchsilintrppp,35407900,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Ajoy_Chakrabarty/Raag_Kedar___Jog/Raag_Jog_566d6c64-ae66-45e7-9f91-e33cd6c0f18f.pitch,Raag_Jog_566d6c64-ae66-45e7-9f91-e33cd6c0f18f.pitch,.pitch,17070717,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Kaustuv_Kanti_Ganguli/Raag_Jog___Kirwani_Bhajan/Raag_Jog_99dcaebe-ab49-4fa3-ab6c-a9458143af8e.pitchSilIntrpPP,Raag_Jog_99dcaebe-ab49-4fa3-ab6c-a9458143af8e.pitchSilIntrpPP,.pitchsilintrppp,32891750,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Kaustuv_Kanti_Ganguli/Raag_Jog___Kirwani_Bhajan/Raag_Jog_99dcaebe-ab49-4fa3-ab6c-a9458143af8e.pitch,Raag_Jog_99dcaebe-ab49-4fa3-ab6c-a9458143af8e.pitch,.pitch,15979577,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Jasraj/Devataa/Bandish_In_Drut_Teentaal_-_Raag_Jog_c02f714f-e4e6-4da6-af07-cea8a03c0e5c.pitchSilIntrpPP,Bandish_In_Drut_Teentaal_-_Raag_Jog_c02f714f-e4e6-4da6-af07-cea8a03c0e5c.pitchSilIntrpPP,.pitchsilintrppp,11167400,pitch
063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Hindustani/features/063ea5a0-23b1-4bb5-8537-3d924fe8ebb3/Jasraj/Devataa/Alaap_And_Stuti_-_Raag_Jog_86d7779a-1610-4514-83a6-883997250abe.pitch,Alaap_And_Stuti_-_Raag_Jog_86d7779a-1610-4514-83a6-883997250abe.pitch,.pitch,1732236,pitch
