tradition,path,num_components
Carnatic,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea,1
Carnatic,8bb04922-2421-47cc-b464-7d556c91a952,1
Carnatic,7e43c413-89d0-491c-add2-2b1520d7cb33,1
Carnatic,2b71b02d-816e-4e58-8023-4f33f8578525,1
Carnatic,fee6e655-7741-4945-8a01-c2f3d12566e7,1
Carnatic,cb280397-4e13-448e-9bd7-97105b2347dc,1
Carnatic,25a56baf-53f7-4320-92bc-66157c52f6fa,1
Carnatic,9aa2770a-c170-4db9-9657-14a74024bc31,1
Carnatic,7217f9d0-3bdd-4415-af50-507a8257c44e,1
Carnatic,6b8184f2-c45d-4065-9269-3e9a73fc2fdc,1
Carnatic,59c671be-6055-431f-bebf-9fc0fe428de9,1
Carnatic,c73d9043-f739-4a6e-887f-be32ddde73a7,1
Carnatic,09d56269-1fd8-4fb5-928c-71605ed01e17,1
Carnatic,766235e1-3c93-4181-bb7d-31623f3bfd2d,1
Carnatic,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,1
Carnatic,cc475479-1358-41de-a76a-5f792b89a02d,1
Carnatic,14f9192e-8f5d-4945-9362-05ba1b9fa4b2,1
Carnatic,cbaaed89-0227-431e-a700-08dcd9d099c2,1
Carnatic,3658fd19-de11-491d-b0a2-a73510e22628,1
Carnatic,75a6e70e-916d-46fd-ad12-0d8a7161384b,1
Carnatic,4e2926d1-7e00-4097-8634-71984c291c46,1
Carnatic,99f7baf2-78fe-4579-b4ed-b6d7e2257bc3,1
Carnatic,2e648aa2-2172-4ab8-b43a-485213ca4d5f,1
Carnatic,15cd462a-08c2-4341-aa2e-061711712fcb,1
Carnatic,b8af04ff-bcec-4f6f-bcbc-c4862ef358aa,1
Carnatic,30c4acdb-a142-45cd-8096-cc245fc6d255,1
Carnatic,7bd17853-6bc5-456e-a7f0-87ad6dd64087,1
Carnatic,bec3b237-0a03-4011-9d8b-394415b0a6b2,1
Carnatic,dc885903-1ee0-418a-9f49-6abd0923cd41,1
Carnatic,2f9b5ddc-f253-46be-a316-36f9ce111b9e,1
Carnatic,5853dea4-9f86-4f62-8f47-abc520f3493e,1
Carnatic,c5e32bf4-2cb1-47fc-a3fd-c855e0e2cd40,1
Carnatic,7fc949e2-a9b0-49e8-9b26-0eb321d3e31d,1
Carnatic,2f9db2e1-0273-4b06-850b-66af589b9791,1
Carnatic,9bac6a08-158e-42eb-8a9b-4ad5b90a6e1a,1
Carnatic,72b03d0a-cde3-444a-bf08-bb280d6c44bb,1
Carnatic,d17fc49c-5c9a-4dd2-9e1e-334078473e63,1
Carnatic,e04099ec-199a-4c5e-ac5f-5fac19759add,1
Carnatic,46cea833-d338-468d-a00d-393efa64c94e,1
Carnatic,3ffea960-050c-4f63-b944-5eaa78fd6bce,1
Carnatic,7aa54c2b-0adc-45b9-9a1a-f184abcdf950,1
Carnatic,a899e45e-b7ba-40d3-be00-fe4f35351f09,1
Carnatic,8e07413a-9b7d-4be2-a2ae-0ca1ce28c6a1,1
Carnatic,3e9f9dc3-7f64-4561-a2c1-80dd9fa66ebc,1
Carnatic,aee1e256-38fc-4721-9cc9-403542ac0b94,1
Carnatic,30ed13b0-58ac-48af-b8ac-f2c14ddbd71a,1
Carnatic,bbee764d-7406-47ce-821a-a82030b89eca,1
Carnatic,c81aa59b-bcc7-4199-a27a-0ded0764c8f3,1
Carnatic,97a7ceaa-9f02-4c0e-ab16-eff9057c88a8,1
Carnatic,7cd313af-89ea-480e-92a1-e25789a9d076,1
Carnatic,93a70e18-c3ba-4c72-b8d1-85f87d0c9e36,1
Carnatic,46c4267b-f2c8-4fd7-8423-d7cc648395bb,1
Carnatic,5226b897-06fc-4032-9766-66e5b19e74fb,1
Carnatic,a2726509-4558-4e35-ad31-2ad844709928,1
