tradition,path,mbid,raga_id,raga,filename,extension
Carnatic,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea,39821826-3327-41d7-9cd5-e22fe7b08360,Mōhanaṁ,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea,
Carnatic,8bb04922-2421-47cc-b464-7d556c91a952,8bb04922-2421-47cc-b464-7d556c91a952,39821826-3327-41d7-9cd5-e22fe7b08360,Mōhanaṁ,8bb04922-2421-47cc-b464-7d556c91a952,
Carnatic,7e43c413-89d0-491c-add2-2b1520d7cb33,7e43c413-89d0-491c-add2-2b1520d7cb33,0277eae5-3411-4b22-9fa8-1b347e7528d1,Ṣanmukhapriya,7e43c413-89d0-491c-add2-2b1520d7cb33,
Carnatic,2b71b02d-816e-4e58-8023-4f33f8578525,2b71b02d-816e-4e58-8023-4f33f8578525,700e1d92-7094-4c21-8a3b-d7b60c550edf,Behāg,2b71b02d-816e-4e58-8023-4f33f8578525,
Carnatic,fee6e655-7741-4945-8a01-c2f3d12566e7,fee6e655-7741-4945-8a01-c2f3d12566e7,a9413dff-91d1-4e29-ad92-c04019dce5b8,Tōḍi,fee6e655-7741-4945-8a01-c2f3d12566e7,
Carnatic,cb280397-4e13-448e-9bd7-97105b2347dc,cb280397-4e13-448e-9bd7-97105b2347dc,18b1acb9-dff6-47ec-873a-b2086c8d268d,Madhyamāvati,cb280397-4e13-448e-9bd7-97105b2347dc,
Carnatic,25a56baf-53f7-4320-92bc-66157c52f6fa,25a56baf-53f7-4320-92bc-66157c52f6fa,839bb6b4-1577-4a78-9e5d-4906c6453274,Suraṭi,25a56baf-53f7-4320-92bc-66157c52f6fa,
Carnatic,9aa2770a-c170-4db9-9657-14a74024bc31,9aa2770a-c170-4db9-9657-14a74024bc31,839bb6b4-1577-4a78-9e5d-4906c6453274,Suraṭi,9aa2770a-c170-4db9-9657-14a74024bc31,
Carnatic,7217f9d0-3bdd-4415-af50-507a8257c44e,7217f9d0-3bdd-4415-af50-507a8257c44e,a47e9d22-847a-46e8-b589-2a3537789f5f,Sāvēri,7217f9d0-3bdd-4415-af50-507a8257c44e,
Carnatic,6b8184f2-c45d-4065-9269-3e9a73fc2fdc,6b8184f2-c45d-4065-9269-3e9a73fc2fdc,978f4c3c-6a12-43fd-8427-c414ee17b252,Mukhāri,6b8184f2-c45d-4065-9269-3e9a73fc2fdc,
Carnatic,59c671be-6055-431f-bebf-9fc0fe428de9,59c671be-6055-431f-bebf-9fc0fe428de9,85ccf631-4cdf-4f6c-a841-0edfcf4255d1,Kāmavardani,59c671be-6055-431f-bebf-9fc0fe428de9,
Carnatic,c73d9043-f739-4a6e-887f-be32ddde73a7,c73d9043-f739-4a6e-887f-be32ddde73a7,e8a0bf54-13c6-4a09-922a-bfc744ddf38a,Varāḷi,c73d9043-f739-4a6e-887f-be32ddde73a7,
Carnatic,09d56269-1fd8-4fb5-928c-71605ed01e17,09d56269-1fd8-4fb5-928c-71605ed01e17,e18fcaa7-1f9c-4f09-b627-0687481f4ec7,Ānandabhairavi,09d56269-1fd8-4fb5-928c-71605ed01e17,
Carnatic,766235e1-3c93-4181-bb7d-31623f3bfd2d,766235e1-3c93-4181-bb7d-31623f3bfd2d,e18fcaa7-1f9c-4f09-b627-0687481f4ec7,Ānandabhairavi,766235e1-3c93-4181-bb7d-31623f3bfd2d,
Carnatic,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,123b09bd-9901-4e64-a65a-10b02c9e0597,Bhairavi,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,
Carnatic,cc475479-1358-41de-a76a-5f792b89a02d,cc475479-1358-41de-a76a-5f792b89a02d,98d46d9e-5100-4f24-bcd4-d0f95966c7cb,Sindhubhairavi,cc475479-1358-41de-a76a-5f792b89a02d,
Carnatic,14f9192e-8f5d-4945-9362-05ba1b9fa4b2,14f9192e-8f5d-4945-9362-05ba1b9fa4b2,a4ec6633-1050-4207-8313-b017194c8fa0,Kamās,14f9192e-8f5d-4945-9362-05ba1b9fa4b2,
Carnatic,cbaaed89-0227-431e-a700-08dcd9d099c2,cbaaed89-0227-431e-a700-08dcd9d099c2,aa5f376f-06cd-4a69-9cc9-b1077104e0b0,Bēgaḍa,cbaaed89-0227-431e-a700-08dcd9d099c2,
Carnatic,3658fd19-de11-491d-b0a2-a73510e22628,3658fd19-de11-491d-b0a2-a73510e22628,a4ec6633-1050-4207-8313-b017194c8fa0,Kamās,3658fd19-de11-491d-b0a2-a73510e22628,
Carnatic,75a6e70e-916d-46fd-ad12-0d8a7161384b,75a6e70e-916d-46fd-ad12-0d8a7161384b,9a071e54-3eed-48b2-83a3-1a3fd683b8e0,Kānaḍa,75a6e70e-916d-46fd-ad12-0d8a7161384b,
Carnatic,4e2926d1-7e00-4097-8634-71984c291c46,4e2926d1-7e00-4097-8634-71984c291c46,2165542c-45da-4301-af82-c2e7ddbe4768,Bilahari,4e2926d1-7e00-4097-8634-71984c291c46,
